match_id,player_id,champion,team,kills,deaths,assists,win_flag
EUW1_7026194224,_L6PDa-YlzQX1_Xo-ZxzngVEM_WIyjVlVs0FHyKQv5-NYh_qZs9oAqLzvn1Ov666PqPqzlgbk11O2w,Ahri,200,4,12,4,1
EUW1_7026194224,aJ750DxT1LhERbv73_4mAlNxsT3yOpi2ZNoP_Ut3DoJ7-uM_K-QH4ZF_c3aOmvEj9Q2mdE3wgaFM5w,Ezreal,100,6,14,11,0
EUW1_7026194224,BL9rwzIeRYJZLiX4gjAQFIhxLj_72WcqMkUhhR1hc4mMX9udiVWFymcTEDaF5b6HUskLYHFa0txRdg,Pyke,100,12,10,8,0
EUW1_7026194224,DecAcZNLK4cty3VM_mv4EI0CX3PFAyNDjvdw7jZk-Q9TDuzj368K7H7EnBiKzGAbTr4oWVpQoJY7XA,Vladimir,100,17,5,6,0
EUW1_7026194224,E8Cesv3zGv_yyWAsD2n_6h-edymaVzRDzjuLgP3C0j6h5OqYkL5ApIz83s0S4OUJRVuw8uljKz5cYw,Yasuo,100,3,6,10,0
EUW1_7026194224,iGlHXOlK8gNgf38bq5ncxPWFPxqgkZW4rrePj9oZVB3jTtjdQ0qWGv5-2ebF-2850phMih3oFpHM-Q,Irelia,200,7,13,10,1
EUW1_7026194224,pUYxmDMk0pvKLZzDOY1HJiVUJFDb3QE5dzS4L1UYkYlCosIaktS2NuV39FOXqpVez6ERJcdDQyn4Ow,Jinx,200,18,12,10,1
EUW1_7026194224,SzMiFR8psgI90R2nicJVvxDn-o51N2_31f9dsnPz6YxnBnRzXUhT2Dzpt5YmFQJ9nHFxFk3SJNiKvg,Yone,100,13,13,5,0
EUW1_7026194224,T9FJBg6l2APiV4H1eYP4nVpdnCRjXg-EGkNs1b0UzDodF_BuubOor7gupIkSfuV04oZsIEaqG_PCEw,Nocturne,200,9,6,8,1
EUW1_7026194224,z0MuTfIjQhuzsAlHMPk61Pcp778RfpWcYFg7PDM6GftjWcOqc96WdemXfKQNeo1H7sBvtzqm6dKwrA,Lux,200,9,8,12,1
EUW1_7026422652,0p8qaz_QDo8dkmDETQkTlitoFkzsKAMxTZs-F9pYyajecXiwPT3HXBcWlzahZ4mQ9OJp4sLLChO9lQ,Ziggs,100,1,10,3,0
EUW1_7026422652,3fLZddlFxuwXK1F9Rjt39joRWc0uTF4kacKCwnpqHxrw6dX_g6VcZfzMfYPRyg2dv00zqZ40M_sv4A,Soraka,100,2,3,4,0
EUW1_7026422652,aJ750DxT1LhERbv73_4mAlNxsT3yOpi2ZNoP_Ut3DoJ7-uM_K-QH4ZF_c3aOmvEj9Q2mdE3wgaFM5w,Tristana,200,14,4,4,1
EUW1_7026422652,cKMpOHtp0cMc1mbDz5vyeE5uEHu2GOUjlXK8RCbQgi1Cd0Qkff2vElV-TbQH1fHpNW_sX9ub3q_Wyg,Sejuani,100,4,4,2,0
EUW1_7026422652,g_y2itzljPbRAgzamfS-KpCq-CJFB66Wt0s22bF8aC2v0Tal24j1IavbiGJ_mD2_B7MwQMtavNl0kg,Akali,100,6,6,0,0
EUW1_7026422652,i4X87nNRqsc2fVEvvz3LxnBU3-9zsSb-WC8f6h_l4-5b7PJH2KF1tP3Z3Hsu66mqXdTV5Bz1PLxMgA,Teemo,200,2,2,6,1
EUW1_7026422652,iVyzH_FB_IAKAYt9GIZS-SXspaHp7btMVVxtKyx6_7w_9_p8ShE6StS63Xm-VXppFq6q6mAQNA_1Mw,Ekko,200,8,3,2,1
EUW1_7026422652,MIuzFRdYVO1CJHyKx0DYMiirEUSzb4W2CgDpx88bdvJhi5mrHYFEPvRUGFuFHULaKJD80rVM2KKvZg,LeeSin,200,5,4,4,1
EUW1_7026422652,pGYATFcoojNrMCAZUQe0P9REYcQ74NkNPQUaAqGP8ozpCMcK9k-XuMog_JKwtboL93dr1Zo2PoF5-A,Yone,100,2,10,4,0
EUW1_7026422652,xS1QLZ5dY-bhBbnbQ2ofPC-WdHIipuhYCowrfD5cf3qVlYoWqCYxNaDKECuyzS70e-MMhGmoFY1YNA,Caitlyn,200,4,2,5,1
EUW1_7027555588,3oIi8zZOQRrgQup2I-4E0MZIOdolnDyq2Cfovaz885XvesTOcxBUGhT0zlbXHK8gC4-5rV89-vX2qQ,Braum,100,3,3,5,0
EUW1_7027555588,5X8ymi3w1QWFtliTLPPY6TSRbO-hSPy5Al7io0x-aZXk8RdJHilUC-4G0uK8eC3QNTVUv6N6nHfpOg,MissFortune,200,1,4,6,1
EUW1_7027555588,aJ750DxT1LhERbv73_4mAlNxsT3yOpi2ZNoP_Ut3DoJ7-uM_K-QH4ZF_c3aOmvEj9Q2mdE3wgaFM5w,Tristana,200,6,5,4,1
EUW1_7027555588,cdPJ7G2oVhmHSQfC5cmKpy0myvLqhqCHsxgOxdaS48BN4A-SSrUaVY4upzEkyGGvSzTiQQloW8BPHQ,Jax,100,4,5,2,0
EUW1_7027555588,I8X6mPR_X_QX8Zdr4TwNpvgU9_aerYoPyh9wfo0ka8_Dv2ISadaMTvZyCGShAUDot16qPSH_Fnx8BQ,Aurora,100,3,3,3,0
EUW1_7027555588,jxPJSJC1gWrxvrwv1CovOXKSz1PuQ9r39Fj7yD9BeYA2eD8l4et04arvzWQutm28cHhRMwrz8SUjsQ,Belveth,200,10,3,5,1
EUW1_7027555588,MQIebjLwEIvgKQfP7B5jBnrDn7n2Dmjhg4cvGrHWQBZ5BmDnqRtSM5JGfSmz6i93cOhvFI78KIf0RQ,DrMundo,100,5,2,5,0
EUW1_7027555588,sdYMTewgTa8G81JNQGaSOJtmXod9jeq7qVLBoNlDCG2akdUn79LTFBPR2WvOx9wMXfmZuFRrH7lfvA,Lux,200,2,5,9,1
EUW1_7027555588,v6sFcpJXV0E7hilso0NLnBHwQuFOJw-A5ig4eDkpQn8sRmZ4Umvvd0zi54OC89se2W6CPW3Ipea8Ow,Sylas,100,5,9,2,0
EUW1_7027555588,WyoM_W-m-sOh_RP1FR7Pcsf6Do_5-sVQkcGgn3-1GAybCIvMEf9QkjDItdq5dw5VFYf1uuKRoUaVRw,Sion,200,3,3,2,1
EUW1_7027661509,0eHrhkYeAS3DzJ-vP3ArZnEXC8l5Jev3TxE2bgiKse8XDHb2bZ-WIzXGNbCvKRoUCnOlzsOQTv5OEQ,Maokai,200,7,5,7,0
EUW1_7027661509,221iQE3meUJ3R0xjuD52LPhvdeSnO7QgNHaBCwf0KmbcZTbprFlClr54nD4oR06cZGznGkZAWd3B2Q,Warwick,100,2,6,7,1
EUW1_7027661509,6hcAPaBWN4VIQGQcOJJhpAlxiQaX_mJYUOpYBmn7GXYqHVVW76iUfkN4bwXmFiR2UEY2xjYGHDa_6Q,Velkoz,100,1,6,8,1
EUW1_7027661509,aJ750DxT1LhERbv73_4mAlNxsT3yOpi2ZNoP_Ut3DoJ7-uM_K-QH4ZF_c3aOmvEj9Q2mdE3wgaFM5w,Tristana,200,11,11,2,0
EUW1_7027661509,fc27DipE_OKzhwmILkALnfJVq6likf0KTmzdbUdegKW30tmT4eD4EDiu92icj1VFsyhQfgQZ7UTHOQ,Akali,100,8,4,4,1
EUW1_7027661509,FvtxdpOt70IMNOd__5UtyviOHv8kPQizB92pMieddDa4t6K480vn9gbBuVdwWRnRRVIOCzXpcdmTzQ,Kaisa,200,3,5,1,0
EUW1_7027661509,g3iDss5gzYKghvDmGqBi8_nL7Q6W9uGlNa4zY6Jy42cVp3Lcd41kcmxAv1189PVtHoReHpvp1aWBuQ,Zeri,200,9,7,8,0
EUW1_7027661509,PgrL_Kni8rVnFFQDoyZxh-V76qpHmF3C6lbsSUxKEw7kdgPRYLF9jAl4d_g164peKYYma5KSCz2iCQ,Katarina,100,26,7,1,1
EUW1_7027661509,TfBfwnPNcqvRNPexgxoHVsfOzXUWEWcjAb-zxhHJGWztc7AAqPOp-Kl14nc7qzuPoKbcferBEXQWlQ,Darius,200,1,10,5,0
EUW1_7027661509,xe9VOV--yrF44qXx2sWMOC7sFM4y3patFe1FxC38BSs7S5kz7sNF1IToBb8iCufGewVKq-dvh5WhLg,Jinx,100,1,9,4,1
