match_id,match_date,duration,game_mode,map_name
EUW1_7026194224,2024-07-21 18:18:16.240,2255,CLASSIC,Summoner's Rift
EUW1_7026422652,2024-07-21 19:01:50.457,1363,CLASSIC,Summoner's Rift
EUW1_7027555588,2024-07-21 22:47:45.373,1417,CLASSIC,Summoner's Rift
EUW1_7027661509,2024-07-21 23:13:38.750,1671,CLASSIC,Summoner's Rift
EUW1_7027775855,2024-07-21 23:49:00.343,933,CLASSIC,Summoner's Rift
EUW1_7028543886,2024-07-22 11:13:13.653,2530,CLASSIC,Summoner's Rift
EUW1_7028794721,2024-07-22 12:51:24.740,1406,CLASSIC,Summoner's Rift
EUW1_7031256309,2024-07-22 22:37:45.677,1649,CLASSIC,Summoner's Rift
EUW1_7031391515,2024-07-22 23:09:13.043,1575,CLASSIC,Summoner's Rift
EUW1_7032398127,2024-07-23 12:01:00.707,1138,CLASSIC,Summoner's Rift
EUW1_7032459084,2024-07-23 12:22:43.010,913,CLASSIC,Summoner's Rift
EUW1_7035416541,2024-07-24 02:30:30.710,1644,CLASSIC,Summoner's Rift
EUW1_7035441865,2024-07-24 03:04:22.563,1856,CLASSIC,Summoner's Rift
EUW1_7131155337,2024-09-25 21:13:31.403,1363,CLASSIC,Summoner's Rift
EUW1_7131190338,2024-09-25 21:39:25.007,1193,CLASSIC,Summoner's Rift
EUW1_7131231652,2024-09-25 22:01:46.867,1143,CLASSIC,Summoner's Rift
EUW1_7131288969,2024-09-25 22:51:28.297,1017,CLASSIC,Summoner's Rift
EUW1_7131320547,2024-09-25 23:14:22.483,1343,CLASSIC,Summoner's Rift
EUW1_7131335184,2024-09-25 23:40:09.257,1268,CLASSIC,Summoner's Rift
EUW1_7131854237,2024-09-26 16:50:09.703,954,CLASSIC,Summoner's Rift
EUW1_7131871373,2024-09-26 17:08:12.983,963,CLASSIC,Summoner's Rift
EUW1_7131894357,2024-09-26 17:28:45.907,1116,CLASSIC,Summoner's Rift
EUW1_7131927962,2024-09-26 17:48:55.463,987,CLASSIC,Summoner's Rift
EUW1_7132878664,2024-09-27 15:50:10.373,1079,CLASSIC,Summoner's Rift
EUW1_7132899769,2024-09-27 16:10:29.483,1018,CLASSIC,Summoner's Rift
EUW1_7132919045,2024-09-27 16:28:53.227,2526,CLASSIC,Summoner's Rift
EUW1_7132975110,2024-09-27 17:19:57.837,109,CLASSIC,Summoner's Rift
EUW1_7132986951,2024-09-27 17:24:51.910,951,CLASSIC,Summoner's Rift
EUW1_7134993306,2024-09-29 11:14:22.213,1783,CLASSIC,Summoner's Rift
EUW1_7135035528,2024-09-29 11:47:39.290,1883,CLASSIC,Summoner's Rift
EUW1_7135058144,2024-09-29 12:21:47.870,1697,CLASSIC,Summoner's Rift
EUW1_7135354291,2024-09-29 16:23:00.580,2143,CLASSIC,Summoner's Rift
EUW1_7135415129,2024-09-29 17:01:23.743,1672,CLASSIC,Summoner's Rift
EUW1_7135453308,2024-09-29 17:32:38.633,824,CLASSIC,Summoner's Rift
EUW1_7135479106,2024-09-29 17:52:01.590,1133,CLASSIC,Summoner's Rift
EUW1_7136151926,2024-09-30 10:11:11.633,1089,CLASSIC,Summoner's Rift
EUW1_7136169500,2024-09-30 10:32:15.590,1016,CLASSIC,Summoner's Rift
EUW1_7136174055,2024-09-30 10:51:38.937,1376,CLASSIC,Summoner's Rift
EUW1_7136833135,2024-09-30 21:10:04.810,997,CLASSIC,Summoner's Rift
EUW1_7136866952,2024-09-30 21:29:41.433,1177,CLASSIC,Summoner's Rift
EUW1_7136919096,2024-09-30 22:06:36.787,1282,ARAM,Summoner's Rift
EUW1_7137236289,2024-10-01 11:14:23.770,993,CLASSIC,Summoner's Rift
EUW1_7137251064,2024-10-01 11:32:42.870,1150,CLASSIC,Summoner's Rift
EUW1_7137267853,2024-10-01 11:58:01.260,955,CLASSIC,Summoner's Rift
EUW1_7137587171,2024-10-01 17:33:40.280,1238,CLASSIC,Summoner's Rift
EUW1_7138016440,2024-10-01 22:53:02.303,2076,CLASSIC,Summoner's Rift
EUW1_7138051318,2024-10-01 23:33:36.657,921,CLASSIC,Summoner's Rift
EUW1_7138507438,2024-10-02 16:06:24.527,113,CLASSIC,Summoner's Rift
EUW1_7138515992,2024-10-02 16:09:54.290,913,CLASSIC,Summoner's Rift
EUW1_7138531420,2024-10-02 16:29:41.493,1341,CLASSIC,Summoner's Rift
EUW1_7138562233,2024-10-02 16:54:20.327,1021,CLASSIC,Summoner's Rift
EUW1_7138584266,2024-10-02 17:16:53.133,1043,CLASSIC,Summoner's Rift
EUW1_7138615960,2024-10-02 17:39:38.933,936,CLASSIC,Summoner's Rift
EUW1_7138635293,2024-10-02 18:00:53.837,1629,CLASSIC,Summoner's Rift
EUW1_7139648122,2024-10-03 17:26:13.107,1082,ARAM,Summoner's Rift
EUW1_7139676176,2024-10-03 17:49:19.440,1214,ARAM,Summoner's Rift
EUW1_7139920529,2024-10-03 20:45:17.290,1048,ARAM,Summoner's Rift
EUW1_7139947848,2024-10-03 21:07:43.167,1338,ARAM,Summoner's Rift
EUW1_7139981901,2024-10-03 21:35:24.737,1053,ARAM,Summoner's Rift
EUW1_7140013214,2024-10-03 21:56:19.827,1097,ARAM,Summoner's Rift
EUW1_7140059812,2024-10-03 22:26:50.717,1502,ARAM,Summoner's Rift
EUW1_7140100834,2024-10-03 23:05:21.533,840,ARAM,Summoner's Rift
EUW1_7140127479,2024-10-03 23:24:06.457,1646,ARAM,Summoner's Rift
EUW1_7140138441,2024-10-03 23:57:15.623,686,ARAM,Summoner's Rift
EUW1_7140159875,2024-10-04 00:11:43.810,1298,ARAM,Summoner's Rift
EUW1_7140342273,2024-10-04 10:33:05.390,1336,CLASSIC,Summoner's Rift
EUW1_7140369564,2024-10-04 11:03:19.947,1730,ULTBOOK,Summoner's Rift
EUW1_7140392577,2024-10-04 11:38:24.467,966,ULTBOOK,Summoner's Rift
EUW1_7140689519,2024-10-04 17:16:01.640,1823,ULTBOOK,Summoner's Rift
EUW1_7140728652,2024-10-04 17:51:45.710,2327,ULTBOOK,Summoner's Rift
EUW1_7144991009,2024-10-08 15:48:58.277,1029,ARAM,Summoner's Rift
EUW1_7145013033,2024-10-08 16:09:43.760,748,ARAM,Summoner's Rift
EUW1_7145028095,2024-10-08 16:25:37.313,898,ARAM,Summoner's Rift
EUW1_7145050255,2024-10-08 16:48:06.037,633,CLASSIC,Summoner's Rift
EUW1_7145066368,2024-10-08 17:03:27.300,2231,CLASSIC,Summoner's Rift
EUW1_7145335015,2024-10-08 20:23:36.013,692,ARAM,Summoner's Rift
EUW1_7145363551,2024-10-08 20:37:56.600,870,ARAM,Summoner's Rift
EUW1_7145382316,2024-10-08 20:55:01.770,1004,ARAM,Summoner's Rift
EUW1_7145423587,2024-10-08 21:16:53.687,1043,ARAM,Summoner's Rift
EUW1_7145519183,2024-10-08 22:29:07.170,1312,ARAM,Summoner's Rift
EUW1_7146486153,2024-10-09 21:54:34.697,1464,ARAM,Summoner's Rift
EUW1_7146526923,2024-10-09 22:23:32.913,1346,ARAM,Summoner's Rift
EUW1_7146558358,2024-10-09 22:52:29.760,1014,ARAM,Summoner's Rift
EUW1_7146588647,2024-10-09 23:12:23.580,1061,ARAM,Summoner's Rift
EUW1_7146604087,2024-10-09 23:35:04.103,1256,ARAM,Summoner's Rift
