player_id,region,join_date,last_active_date,level,platform
--AZyG3uSuPSQDDZObYfDNHNn9F4T2ADZDB9pMPsu3my2TEWv9T522slVfoyeUIsxWywu9zMc35zeA,EUW,2025-10-25,2025-10-25,22,PC
--FpKd5T7erv5-Ztr-3QgzV_UpC-84nbDOZmgFVLT9zmwaqKaP5DgWJNHaQpaL1dCh47yppELk0Tmw,EUW,2025-01-14,2025-01-14,419,PC
--LXXLAKqvpwdZaCcgudmX5FWHqhEX-eG3peB1GPoFFQaU9Vftj75Z9JOQful3wnGprOhX7eyZNZXw,EUW,2025-02-25,2025-02-25,14,PC
-_CFyiqGuXct4ToceBTBjrv9y1D1Xq_VL64UL03yduIjSmnKYd2_JvFblGalRqTJwDzleAN3yOlo-Q,EUW,2025-12-14,2025-12-14,112,PC
-_smzsD5p1NHEiOJhOV_j0syKqRfYLvDoG92jGO5Q9MCd5HT_qJP3FwWDrHw_yi6m_qOqQEp7XwK2A,EUW,2025-11-12,2025-11-12,81,PC
-_vYU-cG6bXT9MStjNUanKeVusv3-T0rm35gjtiOzwA-hVnRe14gmgfFRESQVplGnixsyF1fJQp97w,EUW,2024-11-20,2024-11-20,33,PC
-09N6siH67ASGOAtG891bcNvW_BcR_NXSUWn9HqyNDt3SIFS-JZwbbtPcBipIbJCbpIWQqFiD1ULfg,EUW,2025-12-06,2025-12-06,79,PC
-11XjXT7DK3uixi8IksO7gbdVXiRc1dFb6H8UFlURO8a1aYIrOBAeG6zzDeweRf-uQjAsXY7j_rfgA,EUW,2024-10-03,2024-10-03,341,PC
-17eZw_SLabl-LCbEgHa5PW91pFmjW2UhF4Ly445BvYehTvSwYI_eWLcVyMDfOX5pGERkTIsZrqxbg,EUW,2025-06-15,2025-06-15,137,PC
-1tTYzShtax8arAYt66BZ5BFT1fpfyv8CW6ZzVnYC_9AY3ovVRDAY_wXeUy3r0FGNq7DrBdAh7YkGg,EUW,2025-11-18,2025-11-18,32,PC
-1xIxcy1urxTjf_Jwl5HKUI3F7aKHrCJp8wEBpncNkzuK20eoCqNbYPByQousN_h5mf8WncW5zzWeg,EUW,2025-06-06,2025-06-06,129,PC
-2IKTVo8xQWu0kmGfdtw-pTkyV2kB_6wyBbu7a4zCenf_u1hBdmQR57MnmVz4QgddYg2qv9dzG7Arg,EUW,2024-10-21,2024-10-21,86,PC
-2qEyp2qnUXqv6qG7zclgIodhgZdEiflD6D_xZ5W1zYqJYHQUfJ--JZykFFD6D3VheGmZWIdL6jn1Q,EUW,2025-09-26,2025-09-26,58,PC
-3dztvXwnh7KEYa84pu0dDChf1oZkSygkl5iLj94J3rsTiynFd3qVUdilQbB9-oF4YOmQngWOh_a4Q,EUW,2025-01-04,2025-01-04,525,PC
-3lRR53wAOxy82rPY_ybXCu6oIsIny8YY5VtYQ9DrgG2Mc9SSrRTJx4u6_1g4OL-KQdxWxizki374w,EUW,2024-12-01,2024-12-01,366,PC
-4pu7eO0SDoWiRbnpxw8GM5jUZP2xbhGqVP1q5lzXoAdibJpJiQ78LN0gOAXMGGZ-LYv9ZZGdUOfCQ,EUW,2025-10-12,2025-10-12,130,PC
-4XDAo7jmsVlL-2R7Y5ntnP_4QZEFfbNuIvLcEtyWobspMBKnYcbCihp7KqYGf4hDUxxc7R19ZSEPQ,EUW,2025-12-03,2025-12-03,14,PC
